rank,dist_type,level,mean_dmos,mmd2,spearman_rho,spearman_p,kendall_tau,kendall_p,strict_mono
57,6,4,3.202840,0.61676598,,,,,
58,12,3,3.170000,0.02822137,,,,,
59,21,2,3.098272,0.27592254,,,,,
60,14,3,3.084198,-0.00011241,,,,,
61,11,3,3.045062,0.00288188,,,,,
62,13,2,2.930370,0.02261591,,,,,
63,1,3,2.911111,0.20317304,,,,,
64,21,3,2.899753,0.49054754,,,,,
65,3,3,2.847901,0.04879177,,,,,
66,22,5,2.799012,0.38055313,,,,,
67,21,4,2.794321,0.64807487,,,,,
68,7,1,2.746296,0.03884625,,,,,
69,15,2,2.727160,0.03730309,,,,,
70,11,4,2.709630,0.03707600,,,,,
71,16,4,2.700864,0.04891145,,,,,
72,12,4,2.687160,0.05486846,,,,,
73,23,1,2.687037,-0.00813842,,,,,
74,2,2,2.653580,0.09566545,,,,,
75,8,3,2.648395,0.12115026,,,,,
76,14,4,2.639383,0.02698278,,,,,
77,24,2,2.635926,-0.01035619,,,,,
78,13,3,2.612593,0.04680669,,,,,
79,4,2,2.601975,0.19540107,,,,,
80,5,2,2.545432,0.08402228,,,,,
81,9,4,2.444815,0.00470591,,,,,
82,6,5,2.424938,0.72585309,,,,,
83,12,5,2.379877,0.07742023,,,,,
84,23,2,2.359012,0.00038803,,,,,
85,7,2,2.334568,0.15664065,,,,,
86,13,4,2.312346,0.06928575,,,,,
87,11,5,2.300741,0.12870717,,,,,
88,23,3,2.299506,0.02599812,,,,,
89,7,3,2.261975,0.34521073,,,,,
90,7,4,2.243457,0.58255744,,,,,
91,17,5,2.220988,0.01454616,,,,,
92,15,3,2.202716,0.09963071,,,,,
93,3,4,2.175062,0.11698663,,,,,
94,24,3,2.136420,-0.01037133,,,,,
95,13,5,2.131852,0.09365332,,,,,
96,23,4,2.126173,0.09203875,,,,,
97,14,5,2.117284,0.16279781,,,,,
98,23,5,2.035185,0.17865264,,,,,
99,7,5,2.027407,0.79889250,,,,,
100,10,4,1.945432,0.34519523,,,,,
101,5,3,1.916296,0.21068001,,,,,
102,1,4,1.872963,0.35822904,,,,,
103,5,5,1.863827,0.73302275,,,,,
104,5,4,1.853704,0.42184436,,,,,
105,19,4,1.848519,0.28143305,,,,,
106,8,4,1.815556,0.23367465,,,,,
107,16,5,1.809259,0.12580335,,,,,
108,4,3,1.755926,0.36089015,,,,,
109,2,3,1.755802,0.21749794,,,,,
110,3,5,1.667901,0.20307553,,,,,
111,15,4,1.654938,0.12428999,,,,,
112,24,4,1.613333,-0.01035154,,,,,
113,4,4,1.605185,0.48161829,,,,,
114,8,5,1.524938,0.34268582,,,,,
115,21,5,1.495679,0.72772300,,,,,
116,15,5,1.466543,0.17107379,,,,,
117,2,4,1.441852,0.33654058,,,,,
118,4,5,1.393827,0.57164359,,,,,
119,9,5,1.393827,0.01950324,,,,,
120,10,5,1.350247,0.41047823,,,,,
121,19,5,1.338642,0.43454045,,,,,
122,24,5,1.335926,-0.01046038,,,,,
123,1,5,1.302716,0.50143689,,,,,
124,2,5,1.299136,0.43438655,,,,,
